Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
LINC00374,ENSG00000232954, , , , 
LINC00375,ENSG00000226370,0.269,7.29E-01, ,long intergenic non-protein coding RNA 375
LINC00376,ENSG00000227564, , , , 
LINC00377,ENSG00000229246,1.059,1.81E-01, ,long intergenic non-protein coding RNA 377
LINC00378,ENSG00000225249, , , ,long intergenic non-protein coding RNA 378
LINC00379,ENSG00000229557, , , ,long intergenic non-protein coding RNA 379
LINC00380,ENSG00000234625,-0.052,9.43E-01, ,long intergenic non-protein coding RNA 380
LINC00381,ENSG00000226240,-0.301,7.01E-01, ,long intergenic non-protein coding RNA 381
LINC00382,ENSG00000229175,-0.039,9.44E-01, ,long intergenic non-protein coding RNA 382
LINC00383,ENSG00000237534,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 383
LINC00384,ENSG00000232117,-0.4,4.52E-01,8.53E-01,long intergenic non-protein coding RNA 384
LINC00385,ENSG00000232643, , , , 
LINC00387,ENSG00000231914, , , ,long intergenic non-protein coding RNA 387
LINC00388,ENSG00000229788, , , ,long intergenic non-protein coding RNA 388
LINC00390,ENSG00000226519,1.013,1.71E-01, , 
LINC00391,ENSG00000238230,-0.776,2.44E-01,7.22E-01,long intergenic non-protein coding RNA 391
LINC00392,ENSG00000228295,0.301,5.46E-01, ,long intergenic non-protein coding RNA 392
LINC00393,ENSG00000224853,0.293,5.52E-01, ,long intergenic non-protein coding RNA 393
LINC00395,ENSG00000231061, , , ,long intergenic non-protein coding RNA 395
LINC00396,ENSG00000231428,0.301,5.46E-01, , 
LINC00397,ENSG00000223404, , , ,long intergenic non-protein coding RNA 397
LINC00397,ENSG00000272046, , , ,long intergenic non-protein coding RNA 397
LINC00398,ENSG00000237879, , , ,long intergenic non-protein coding RNA 398
LINC00399,ENSG00000229792, , , , 
LINC00400,ENSG00000229928, , , ,long intergenic non-protein coding RNA 400
LINC00402,ENSG00000235532,1.999,1.16E-02,1.74E-01,long intergenic non-protein coding RNA 402
LINC00403,ENSG00000224243,-3.716,1.67E-08,6.76E-06,long intergenic non-protein coding RNA 403
LINC00404,ENSG00000229520,-2.792,4.52E-04, ,long intergenic non-protein coding RNA 404
LINC00407,ENSG00000237585,-0.719,3.33E-01, ,LINC00407 lincRNA
LINC00408,ENSG00000226250,0.301,5.46E-01, ,long intergenic non-protein coding RNA 408
LINC00410,ENSG00000231674, , , ,long intergenic non-protein coding RNA 410
LINC00411,ENSG00000229599, , , ,long intergenic non-protein coding RNA 411
LINC00412,ENSG00000234772,-0.556,3.08E-01,7.72E-01,long intergenic non-protein coding RNA 412
LINC00415,ENSG00000231983,-0.061,9.14E-01, ,long intergenic non-protein coding RNA 415
LINC00421,ENSG00000236834,-0.335,5.93E-01, ,long intergenic non-protein coding RNA 421
LINC00423,ENSG00000226968, , , ,long intergenic non-protein coding RNA 423
LINC00424,ENSG00000226722, , , ,long intergenic non-protein coding RNA 424
LINC00426,ENSG00000238121,0.129,8.69E-01, ,long intergenic non-protein coding RNA 426
LINC00427,ENSG00000236463, , , ,long intergenic non-protein coding RNA 427
LINC00428,ENSG00000229546,0.491,4.12E-01, ,long intergenic non-protein coding RNA 428
LINC00430,ENSG00000233528,0.293,5.52E-01, , 
LINC00431,ENSG00000225760,-0.738,2.79E-01, ,long intergenic non-protein coding RNA 431
LINC00433,ENSG00000229443,0.506,4.02E-01, ,long intergenic non-protein coding RNA 433
LINC00434,ENSG00000227336,-0.212,7.90E-01, ,long intergenic non-protein coding RNA 434
LINC00437,ENSG00000236354,-0.535,3.40E-01, ,long intergenic non-protein coding RNA 437
LINC00440,ENSG00000234660,-0.479,3.75E-01, ,long intergenic non-protein coding RNA 440
LINC00441,ENSG00000231473,-0.45,2.77E-01,7.48E-01,long intergenic non-protein coding RNA 441
LINC00442,ENSG00000232685, , , ,long intergenic non-protein coding RNA 442
LINC00443,ENSG00000230156,-0.383,6.31E-01, ,long intergenic non-protein coding RNA 443
LINC00444,ENSG00000234689,0.826,2.52E-01, ,long intergenic non-protein coding RNA 444
LINC00445,ENSG00000236036, , , ,long intergenic non-protein coding RNA 445
LINC00446,ENSG00000229249,-0.652,3.94E-01, ,long intergenic non-protein coding RNA 446
LINC00448,ENSG00000228669, , , ,long intergenic non-protein coding RNA 448
LINC00449,ENSG00000203441,-0.256,5.95E-01,9.14E-01, 
LINC00452,ENSG00000229373,2.168,6.65E-03, ,long intergenic non-protein coding RNA 452
LINC00454,ENSG00000226921,-0.034,9.53E-01, ,long intergenic non-protein coding RNA 454
LINC00456,ENSG00000233124,-0.034,9.53E-01, ,long intergenic non-protein coding RNA 456
LINC00457,ENSG00000225179,-0.298,6.91E-01, ,long intergenic non-protein coding RNA 457
LINC00458,ENSG00000234787,0.996,2.11E-01, ,long intergenic non-protein coding RNA 458
LINC00459,ENSG00000229307, , , ,long intergenic non-protein coding RNA 459
LINC00460,ENSG00000233532,1.23,1.15E-01, ,long intergenic non-protein coding RNA 460
LINC00461,ENSG00000245526,-0.814,1.89E-01,6.58E-01,long intergenic non-protein coding RNA 461
LINC00462,ENSG00000233610,0.144,8.36E-01, ,long intergenic non-protein coding RNA 462
LINC00463,ENSG00000234056,-1.014,1.90E-01, ,long intergenic non-protein coding RNA 463
LINC00466,ENSG00000224209,-0.153,8.34E-01, ,long intergenic non-protein coding RNA 466
LINC00467,ENSG00000153363,-0.487,3.31E-01,7.90E-01,long intergenic non-protein coding RNA 467
LINC00469,ENSG00000177338,0.379,4.85E-01, ,long intergenic non-protein coding RNA 469
LINC00470,ENSG00000132204,-0.357,5.95E-01, ,long intergenic non-protein coding RNA 470
LINC00471,ENSG00000181798,-0.685,7.16E-02,4.47E-01,long intergenic non-protein coding RNA 471
LINC00472,ENSG00000233237,0.386,4.06E-01,8.33E-01,long intergenic non-protein coding RNA 472
LINC00472,ENSG00000269966, , , ,long intergenic non-protein coding RNA 472
LINC00473,ENSG00000223414,1.421,3.88E-02,3.31E-01,long intergenic non-protein coding RNA 473
LINC00474,ENSG00000204148, , , ,long intergenic non-protein coding RNA 474
LINC00475,ENSG00000225511,1.516,1.91E-02,2.26E-01,long intergenic non-protein coding RNA 475
LINC00476,ENSG00000175611,-0.221,6.09E-01,9.20E-01,long intergenic non-protein coding RNA 476
LINC00477,ENSG00000197503,0.606,3.44E-01, ,long intergenic non-protein coding RNA 477
LINC00479,ENSG00000236384, , , ,long intergenic non-protein coding RNA 479
LINC00482,ENSG00000185168,0.246,7.52E-01, ,long intergenic non-protein coding RNA 482
LINC00483,ENSG00000167117,0.007,9.93E-01, ,long intergenic non-protein coding RNA 483
LINC00484,ENSG00000235641,0.301,5.46E-01, ,long intergenic non-protein coding RNA 484
LINC00485,ENSG00000258169,0.298,5.62E-01,9.03E-01,long intergenic non-protein coding RNA 485
LINC00486,ENSG00000230876,-0.264,6.81E-01,9.43E-01,long intergenic non-protein coding RNA 486
LINC00487,ENSG00000205837,0.256,7.18E-01,9.52E-01,long intergenic non-protein coding RNA 487
LINC00488,ENSG00000214381,0.586,3.59E-01,8.08E-01,long intergenic non-protein coding RNA 488
LINC00489,ENSG00000225759, , , ,long intergenic non-protein coding RNA 489
LINC00491,ENSG00000250682,-1.392,2.91E-02,2.85E-01,long intergenic non-protein coding RNA 491
LINC00492,ENSG00000250958,0.496,4.09E-01, ,long intergenic non-protein coding RNA 492
LINC00493,ENSG00000232388,-0.141,6.09E-01,9.20E-01,long intergenic non-protein coding RNA 493
LINC00494,ENSG00000235621,0.224,7.78E-01, ,long intergenic non-protein coding RNA 494
LINC00498,ENSG00000248397,-0.636,2.94E-01, ,long intergenic non-protein coding RNA 498
LINC00499,ENSG00000251372,0.481,4.18E-01, ,long intergenic non-protein coding RNA 499
LINC00500,ENSG00000249381, , , ,LINC00500 lincRNA
LINC00501,ENSG00000203645,0.174,7.91E-01, ,long intergenic non-protein coding RNA 501
LINC00502,ENSG00000224851,0.072,9.20E-01, ,long intergenic non-protein coding RNA 502
LINC00504,ENSG00000248360,0.13,6.82E-01,9.43E-01, 
LINC00505,ENSG00000225667,-0.069,9.02E-01, ,long intergenic non-protein coding RNA 505
LINC00507,ENSG00000256193,-0.101,8.54E-01,9.79E-01,long intergenic non-protein coding RNA 507
LINC00508,ENSG00000256971,-0.376,4.48E-01, , 
LINC00511,ENSG00000227036,-0.654,3.35E-01,7.92E-01,long intergenic non-protein coding RNA 511
LINC00514,ENSG00000262152,1.899,1.33E-02,1.86E-01,long intergenic non-protein coding RNA 514
LINC00515,ENSG00000260583,-0.369,4.07E-01,8.34E-01,long intergenic non-protein coding RNA 515
LINC00517,ENSG00000259091,-0.046,9.36E-01, ,long intergenic non-protein coding RNA 517
LINC00518,ENSG00000183674,0.209,7.35E-01, ,long intergenic non-protein coding RNA 518
LINC00519,ENSG00000258955,1.138,1.49E-01, ,long intergenic non-protein coding RNA 519
LINC00520,ENSG00000258791,0.49,5.30E-01, ,long intergenic non-protein coding RNA 520
LINC00521,ENSG00000175699,0.289,5.55E-01, ,long intergenic non-protein coding RNA 521
LINC00523,ENSG00000196273,0.379,4.85E-01, ,long intergenic non-protein coding RNA 523
LINC00524,ENSG00000259023, , , ,long intergenic non-protein coding RNA 524
LINC00525,ENSG00000146666,1.705,3.22E-02, ,long intergenic non-protein coding RNA 525
LINC00526,ENSG00000264575,-0.204,5.85E-01,9.10E-01,long intergenic non-protein coding RNA 526
LINC00528,ENSG00000269220,0.358,6.54E-01, ,long intergenic non-protein coding RNA 528
LINC00529,ENSG00000236827,-0.376,4.48E-01, ,long intergenic non-protein coding RNA 529
LINC00533,ENSG00000235570,-0.37,6.34E-01, ,long intergenic non-protein coding RNA 533
LINC00533,ENSG00000249032, , , ,long intergenic non-protein coding RNA 533
LINC00534,ENSG00000253394,0.392,5.43E-01, ,long intergenic non-protein coding RNA 534
LINC00535,ENSG00000246662,-0.653,2.34E-01,7.13E-01,long intergenic non-protein coding RNA 535
LINC00536,ENSG00000249917,1.386,8.27E-02, ,long intergenic non-protein coding RNA 536
LINC00539,ENSG00000224429,0.693,3.73E-01, ,long intergenic non-protein coding RNA 539
LINC00543,ENSG00000260704,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 543
LINC00544,ENSG00000122043, , , ,long intergenic non-protein coding RNA 544
LINC00545,ENSG00000236094,2.416,2.14E-03,6.36E-02,long intergenic non-protein coding RNA 545
LINC00551,ENSG00000272274,0.843,2.75E-01, ,long intergenic non-protein coding RNA 551
LINC00554,ENSG00000260738,-0.195,7.44E-01, ,long intergenic non-protein coding RNA 554
LINC00555,ENSG00000261057,-0.069,9.02E-01, ,long intergenic non-protein coding RNA 555
LINC00556,ENSG00000260131,0.289,5.55E-01, ,long intergenic non-protein coding RNA 556
LINC00557,ENSG00000260962,0.097,8.94E-01, ,long intergenic non-protein coding RNA 557
LINC00558,ENSG00000261517, , , ,long intergenic non-protein coding RNA 558
LINC00559,ENSG00000261446,-0.34,6.48E-01, ,long intergenic non-protein coding RNA 559
LINC00560,ENSG00000261666,-0.061,9.14E-01, ,long intergenic non-protein coding RNA 560
LINC00561,ENSG00000261206,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 561
LINC00562,ENSG00000260388,0.464,2.82E-01,7.51E-01,long intergenic non-protein coding RNA 562
LINC00563,ENSG00000261097,0.371,4.91E-01, ,long intergenic non-protein coding RNA 563
LINC00564,ENSG00000260094,0.301,5.46E-01, ,long intergenic non-protein coding RNA 564
LINC00565,ENSG00000260910,1.037,5.12E-02,3.77E-01,long intergenic non-protein coding RNA 565
LINC00566,ENSG00000261498,-0.252,6.76E-01, ,long intergenic non-protein coding RNA 566
LINC00567,ENSG00000259831,-0.38,4.45E-01, ,long intergenic non-protein coding RNA 567
LINC00570,ENSG00000224177,0.293,5.52E-01, ,long intergenic non-protein coding RNA 570
LINC00571,ENSG00000223685,1.418,4.48E-03,1.01E-01,long intergenic non-protein coding RNA 571
LINC00572,ENSG00000224405, , , ,long intergenic non-protein coding RNA 572
LINC00574,ENSG00000231690,0.678,2.04E-01,6.77E-01,long intergenic non-protein coding RNA 574
LINC00575,ENSG00000231782,0.064,9.22E-01, ,long intergenic non-protein coding RNA 575
LINC00577,ENSG00000203809,0.347,6.52E-01,9.34E-01,long intergenic non-protein coding RNA 577
LINC00578,ENSG00000228221,2.292,5.51E-04,2.51E-02,long intergenic non-protein coding RNA 578
LINC00582,ENSG00000229228, , , ,long intergenic non-protein coding RNA 582
LINC00583,ENSG00000205636, , , ,long intergenic non-protein coding RNA 583
LINC00587,ENSG00000204250,0.301,5.46E-01, ,long intergenic non-protein coding RNA 587
LINC00588,ENSG00000215117,-0.636,2.94E-01, ,long intergenic non-protein coding RNA 588
LINC00589,ENSG00000251191,1.643,1.95E-02, ,long intergenic non-protein coding RNA 589
LINC00592,ENSG00000258279,0.366,4.95E-01, ,long intergenic non-protein coding RNA 592
LINC00593,ENSG00000259703,-0.052,9.27E-01, ,long intergenic non-protein coding RNA 593
LINC00595,ENSG00000227136,-0.274,6.72E-01, ,long intergenic non-protein coding RNA 595
LINC00596,ENSG00000259334,0.719,3.16E-01, ,long intergenic non-protein coding RNA 596
LINC00598,ENSG00000215483,1.326,4.73E-02,3.63E-01,long intergenic non-protein coding RNA 598
LINC00599,ENSG00000253230,-0.325,6.43E-01,9.32E-01,long intergenic non-protein coding RNA 599
LINC00601,ENSG00000235180,2.526,1.11E-03, ,long intergenic non-protein coding RNA 601
LINC00603,ENSG00000250048, , , ,long intergenic non-protein coding RNA 603
LINC00604,ENSG00000250585,-0.069,9.02E-01, , 
LINC00605,ENSG00000251533,-0.376,4.48E-01, ,long intergenic non-protein coding RNA 605
LINC00606,ENSG00000226567,0.175,8.08E-01,9.71E-01,long intergenic non-protein coding RNA 606
LINC00607,ENSG00000235770,2.159,2.95E-03,7.92E-02,long intergenic non-protein coding RNA 607
LINC00608,ENSG00000236445,-0.753,3.45E-01, ,long intergenic non-protein coding RNA 608
LINC00609,ENSG00000257585,-0.442,5.69E-01, ,long intergenic non-protein coding RNA 609
LINC00612,ENSG00000214851,-1.226,1.22E-01,5.60E-01,long intergenic non-protein coding RNA 612
LINC00613,ENSG00000248330,0.301,5.46E-01, ,long intergenic non-protein coding RNA 613
LINC00614,ENSG00000236983,0.456,5.46E-01, ,long intergenic non-protein coding RNA 614
LINC00615,ENSG00000196243, , , ,long intergenic non-protein coding RNA 615
LINC00616,ENSG00000248307,0.161,8.40E-01, ,long intergenic non-protein coding RNA 616
LINC00618,ENSG00000225163,0.208,7.15E-01,9.52E-01,long intergenic non-protein coding RNA 618
LINC00619,ENSG00000204187,0.293,5.52E-01, ,long intergenic non-protein coding RNA 619
LINC00620,ENSG00000224514,-1.064,9.13E-02,4.96E-01,long intergenic non-protein coding RNA 620
LINC00621,ENSG00000262619,0.493,4.63E-01,8.58E-01,long intergenic non-protein coding RNA 621
LINC00622,ENSG00000260941,0.193,7.55E-01,9.61E-01,long intergenic non-protein coding RNA 622
LINC00623,ENSG00000226067,0.347,5.90E-01,9.12E-01,long intergenic non-protein coding RNA 623
LINC00626,ENSG00000225826,0.679,3.48E-01, ,long intergenic non-protein coding RNA 626
LINC00629,ENSG00000227060,-0.253,6.91E-01, ,long intergenic non-protein coding RNA 629
LINC00630,ENSG00000223546,-0.357,2.45E-01,7.23E-01,long intergenic non-protein coding RNA 630
LINC00632,ENSG00000203930,-0.1,8.07E-01,9.71E-01,long intergenic non-protein coding RNA 632
LINC00633,ENSG00000224107, , , ,long intergenic non-protein coding RNA 633
LINC00634,ENSG00000205704,-1.203,4.41E-02,3.50E-01,long intergenic non-protein coding RNA 634
LINC00635,ENSG00000241469,0.445,5.73E-01, ,long intergenic non-protein coding RNA 635
LINC00636,ENSG00000240423,-0.518,5.17E-01, ,long intergenic non-protein coding RNA 636
LINC00637,ENSG00000258735,-0.025,9.73E-01, ,long intergenic non-protein coding RNA 637
LINC00638,ENSG00000258701,-0.165,7.38E-01,9.57E-01,long intergenic non-protein coding RNA 638
LINC00639,ENSG00000259070,2.553,2.99E-04,1.67E-02,long intergenic non-protein coding RNA 639
LINC00640,ENSG00000258479,1.75,1.24E-02,1.78E-01,long intergenic non-protein coding RNA 640
LINC00641,ENSG00000258441,0.027,9.35E-01,9.92E-01,long intergenic non-protein coding RNA 641
LINC00642,ENSG00000233208,-0.152,8.49E-01, ,long intergenic non-protein coding RNA 642
LINC00643,ENSG00000186369,0.128,8.28E-01,9.76E-01,long intergenic non-protein coding RNA 643
LINC00644,ENSG00000259142, , , ,long intergenic non-protein coding RNA 644
LINC00645,ENSG00000258548,1.018,1.70E-01,6.37E-01,long intergenic non-protein coding RNA 645
LINC00648,ENSG00000259129,-1.07,7.17E-02,4.48E-01,long intergenic non-protein coding RNA 648
LINC00649,ENSG00000237945,0.224,6.95E-01,9.47E-01,long intergenic non-protein coding RNA 649
LINC00652,ENSG00000179935,0.141,8.30E-01,9.76E-01,long intergenic non-protein coding RNA 652
LINC00654,ENSG00000205181,0.422,5.35E-01,8.91E-01,long intergenic non-protein coding RNA 654
LINC00656,ENSG00000233746, , , ,long intergenic non-protein coding RNA 656
LINC00657,ENSG00000260032,0.291,2.38E-01,7.17E-01,long intergenic non-protein coding RNA 657
LINC00658,ENSG00000226995,-0.296,6.82E-01, ,long intergenic non-protein coding RNA 658
LINC00659,ENSG00000228705,0.307,5.41E-01, ,long intergenic non-protein coding RNA 659
LINC00661,ENSG00000205396,0.42,5.84E-01, ,long intergenic non-protein coding RNA 661
LINC00662,ENSG00000261824,0.89,2.43E-03,6.94E-02,long intergenic non-protein coding RNA 662
LINC00664,ENSG00000268658,-0.184,7.36E-01,9.57E-01,long intergenic non-protein coding RNA 664
LINC00665,ENSG00000232677,-0.214,4.58E-01,8.56E-01,long intergenic non-protein coding RNA 665
LINC00667,ENSG00000263753,-0.139,6.47E-01,9.33E-01,long intergenic non-protein coding RNA 667
LINC00667,ENSG00000265091,0.701,3.64E-01, ,long intergenic non-protein coding RNA 667
LINC00668,ENSG00000265933,0.743,3.05E-01, ,long intergenic non-protein coding RNA 668
LINC00670,ENSG00000179136,-0.318,6.80E-01, ,long intergenic non-protein coding RNA 670
LINC00671,ENSG00000213373,0.55,4.84E-01, ,long intergenic non-protein coding RNA 671
LINC00672,ENSG00000263874,1.074,1.04E-01,5.26E-01,long intergenic non-protein coding RNA 672
LINC00674,ENSG00000237854,-0.274,2.54E-01,7.28E-01,long intergenic non-protein coding RNA 674
LINC00675,ENSG00000263429,-0.118,8.49E-01, ,long intergenic non-protein coding RNA 675
LINC00676,ENSG00000234854, , , ,long intergenic non-protein coding RNA 676
LINC00677,ENSG00000259717, , , ,long intergenic non-protein coding RNA 677
LINC00678,ENSG00000254934,-0.069,9.02E-01, ,long intergenic non-protein coding RNA 678
LINC00681,ENSG00000255494, , , ,long intergenic non-protein coding RNA 681
LINC00682,ENSG00000245870,1.395,4.95E-02, ,long intergenic non-protein coding RNA 682
LINC00683,ENSG00000266256,0.592,3.50E-01,8.02E-01,long intergenic non-protein coding RNA 683
LINC00685,ENSG00000226179,0.148,7.10E-01,9.50E-01,long intergenic non-protein coding RNA 685
LINC00686,ENSG00000237687, , , ,long intergenic non-protein coding RNA 686
LINC00687,ENSG00000228422,0.183,7.93E-01, ,long intergenic non-protein coding RNA 687
LINC00689,ENSG00000231419,0.126,8.74E-01, ,long intergenic non-protein coding RNA 689
LINC00690,ENSG00000233570, , , ,long intergenic non-protein coding RNA 690
LINC00691,ENSG00000224074,0.084,9.14E-01, ,long intergenic non-protein coding RNA 691
LINC00692,ENSG00000230891,0.293,5.52E-01, ,long intergenic non-protein coding RNA 692
LINC00693,ENSG00000228214,0.203,6.59E-01,9.37E-01,long intergenic non-protein coding RNA 693
LINC00698,ENSG00000244342,-0.381,4.83E-01,8.67E-01,long intergenic non-protein coding RNA 698
LINC00700,ENSG00000234962,-0.211,7.23E-01, ,long intergenic non-protein coding RNA 700
LINC00701,ENSG00000234556, , , ,long intergenic non-protein coding RNA 701
LINC00702,ENSG00000233117,1.976,3.89E-03,9.35E-02,long intergenic non-protein coding RNA 702
LINC00703,ENSG00000224382,0.324,6.22E-01,9.25E-01,long intergenic non-protein coding RNA 703
LINC00704,ENSG00000231298,0.199,8.01E-01, ,long intergenic non-protein coding RNA 704
LINC00705,ENSG00000225269,0.307,5.41E-01, ,long intergenic non-protein coding RNA 705
LINC00707,ENSG00000238266,1.28,1.06E-01, ,long intergenic non-protein coding RNA 707
LINC00708,ENSG00000232170,0.293,5.52E-01, ,long intergenic non-protein coding RNA 708
LINC00709,ENSG00000230014, , , ,long intergenic non-protein coding RNA 709
LINC00710,ENSG00000229240, , , ,long intergenic non-protein coding RNA 710
LINC00824,ENSG00000254275,0.501,4.28E-01, ,long intergenic non-protein coding RNA 824
LINC00837,ENSG00000235824,0.307,5.41E-01, ,long intergenic non-protein coding RNA 837
LINC00838,ENSG00000261683,-0.207,7.41E-01, ,long intergenic non-protein coding RNA 838
LINC00839,ENSG00000185904,-1.04, , ,long intergenic non-protein coding RNA 839
LINC00840,ENSG00000226808,0.293,5.52E-01, ,long intergenic non-protein coding RNA 840
LINC00841,ENSG00000233395,0.301,5.46E-01, ,long intergenic non-protein coding RNA 841
LINC00843,ENSG00000178440,0.326,2.95E-01,7.63E-01,long intergenic non-protein coding RNA 843
LINC00844,ENSG00000237949,-0.993,2.08E-01,6.81E-01,long intergenic non-protein coding RNA 844
LINC00845,ENSG00000227244,0.011,9.89E-01, ,long intergenic non-protein coding RNA 845
LINC00847,ENSG00000245060,-1.287,3.48E-02,3.13E-01,long intergenic non-protein coding RNA 847
LINC00851,ENSG00000237282,0.293,5.52E-01, ,long intergenic non-protein coding RNA 851
LINC00852,ENSG00000231177,0.712,6.46E-03,1.25E-01,long intergenic non-protein coding RNA 852
LINC00853,ENSG00000224805,0.47,4.60E-01, ,long intergenic non-protein coding RNA 853
LINC00854,ENSG00000236383,-0.043,9.52E-01, ,long intergenic non-protein coding RNA 854
LINC00856,ENSG00000230417,1.259, , ,long intergenic non-protein coding RNA 856
LINC00857,ENSG00000237523,-0.539,4.91E-01, ,long intergenic non-protein coding RNA 857
LINC00858,ENSG00000229404,-0.256,6.36E-01,9.30E-01,long intergenic non-protein coding RNA 858
LINC00861,ENSG00000245164,-0.624,4.34E-01, ,long intergenic non-protein coding RNA 861
LINC00862,ENSG00000203721,2.128,1.89E-03,5.83E-02,long intergenic non-protein coding RNA 862
LINC00863,ENSG00000224914,-0.513,4.10E-01,8.35E-01,long intergenic non-protein coding RNA 863
LINC00864,ENSG00000264404, , , ,long intergenic non-protein coding RNA 864
LINC00864,ENSG00000228055, , , ,long intergenic non-protein coding RNA 864
LINC00865,ENSG00000232229,-1.273,6.77E-02,4.35E-01,long intergenic non-protein coding RNA 865
LINC00866,ENSG00000227356,-0.523,4.73E-01, ,long intergenic non-protein coding RNA 866
LINC00867,ENSG00000232139,0.243,7.25E-01, ,long intergenic non-protein coding RNA 867
LINC00868,ENSG00000267535,-0.065,9.18E-01, ,long intergenic non-protein coding RNA 868
LINC00870,ENSG00000243083,0.631,4.25E-01, ,long intergenic non-protein coding RNA 870
LINC00871,ENSG00000258700,0.951,2.32E-01, ,long intergenic non-protein coding RNA 871
LINC00877,ENSG00000241163,-0.626,2.52E-01,7.26E-01,long intergenic non-protein coding RNA 877
LINC00879,ENSG00000239589, , , ,long intergenic non-protein coding RNA 879
LINC00880,ENSG00000243629,-2.207, , ,long intergenic non-protein coding RNA 880
LINC00881,ENSG00000241135,-0.173,8.25E-01, ,long intergenic non-protein coding RNA 881
LINC00882,ENSG00000242759,0.092,7.93E-01,9.69E-01,long intergenic non-protein coding RNA 882
LINC00884,ENSG00000233058,-0.243,6.94E-01,9.47E-01,long intergenic non-protein coding RNA 884
LINC00885,ENSG00000224652, , , ,long intergenic non-protein coding RNA 885
LINC00886,ENSG00000240875,-0.64,3.55E-01,8.05E-01,long intergenic non-protein coding RNA 886
LINC00887,ENSG00000214145,0.335,2.88E-01,7.56E-01,long intergenic non-protein coding RNA 887
LINC00888,ENSG00000240024,-0.338,4.62E-01,8.58E-01,long intergenic non-protein coding RNA 888
LINC00890,ENSG00000260802,-1.362,4.36E-02,3.49E-01,long intergenic non-protein coding RNA 890
LINC00892,ENSG00000233093,0.491,4.12E-01, ,long intergenic non-protein coding RNA 892
LINC00893,ENSG00000241769,-0.693,1.13E-02,1.72E-01,long intergenic non-protein coding RNA 893
LINC00894,ENSG00000235703,-0.818,4.02E-03,9.62E-02,long intergenic non-protein coding RNA 894
LINC00896,ENSG00000236499,0.433,5.63E-01, ,long intergenic non-protein coding RNA 896
LINC00898,ENSG00000205634, , , ,long intergenic non-protein coding RNA 898
LINC00899,ENSG00000231711,0.808,1.82E-01,6.52E-01,long intergenic non-protein coding RNA 899
LINC00900,ENSG00000246100,0.528,3.97E-01,8.28E-01,long intergenic non-protein coding RNA 900
LINC00901,ENSG00000242385,0.301,5.46E-01, ,long intergenic non-protein coding RNA 901
LINC00903,ENSG00000241397, , , ,long intergenic non-protein coding RNA 903
LINC00904,ENSG00000271649,0.304,7.03E-01, ,long intergenic non-protein coding RNA 904
LINC00905,ENSG00000167459, , , ,long intergenic non-protein coding RNA 905
LINC00906,ENSG00000267339,0.316,6.85E-01, ,long intergenic non-protein coding RNA 906
LINC00907,ENSG00000267586,-0.755,4.71E-02,3.62E-01,long intergenic non-protein coding RNA 907
LINC00908,ENSG00000263812,0.004,9.93E-01,9.98E-01,long intergenic non-protein coding RNA 908
LINC00909,ENSG00000264247,-0.236,4.25E-01,8.42E-01,long intergenic non-protein coding RNA 909
LINC00910,ENSG00000188825,-0.619,2.34E-01,7.13E-01,long intergenic non-protein coding RNA 910
LINC00911,ENSG00000259107,0.166,8.12E-01, ,long intergenic non-protein coding RNA 911
LINC00917,ENSG00000168367,-0.479,3.75E-01, ,long intergenic non-protein coding RNA 917
LINC00919,ENSG00000260268,0.422,4.54E-01, ,long intergenic non-protein coding RNA 919
LINC00920,ENSG00000246898,1.243,2.17E-02,2.44E-01,long intergenic non-protein coding RNA 920
LINC00922,ENSG00000261742,1.845,1.40E-02,1.90E-01,long intergenic non-protein coding RNA 922
LINC00923,ENSG00000251209,0.445,1.89E-01,6.58E-01,long intergenic non-protein coding RNA 923
LINC00924,ENSG00000259134,-0.474,5.13E-01, ,long intergenic non-protein coding RNA 924
LINC00926,ENSG00000247982,0.003,9.92E-01,9.98E-01,long intergenic non-protein coding RNA 926
LINC00927,ENSG00000259361,0.022,9.78E-01, ,long intergenic non-protein coding RNA 927
LINC00928,ENSG00000259218,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 928
LINC00929,ENSG00000259150, , , ,long intergenic non-protein coding RNA 929
LINC00930,ENSG00000258647,0.211,7.92E-01, ,long intergenic non-protein coding RNA 930
LINC00933,ENSG00000259728,0.356,5.37E-01,8.92E-01,long intergenic non-protein coding RNA 933
LINC00935,ENSG00000257987,0.307,5.41E-01, ,long intergenic non-protein coding RNA 935
LINC00936,ENSG00000271614,0.48, , ,long intergenic non-protein coding RNA 936
LINC00937,ENSG00000226091,-0.057,8.41E-01,9.76E-01,long intergenic non-protein coding RNA 937
LINC00939,ENSG00000249267,-0.061,9.00E-01,9.88E-01,long intergenic non-protein coding RNA 939
LINC00940,ENSG00000235049,0.152,8.28E-01, ,long intergenic non-protein coding RNA 940
LINC00941,ENSG00000235884,1.91,4.06E-03,9.66E-02,long intergenic non-protein coding RNA 941
LINC00942,ENSG00000249628,0.372,6.01E-01, ,long intergenic non-protein coding RNA 942
LINC00943,ENSG00000189238,-1.31, , ,long intergenic non-protein coding RNA 943
LINC00944,ENSG00000256128,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 944
